type,mcc,mnc,lac,cid,colonne6,long,lat,Colonne9,Colonne10,Colonne11,Colonne12,Colonne13,Colonne14
UMTS,372,1,37001,65654139,0,-72.31598,18.532178,1000,59,1449300546,1449300546,1449300546,0
UMTS,372,1,37001,65654138,0,-72.312306,18.533837,1000,7,1449300546,1449300546,1449300546,0
UMTS,372,1,37001,65654137,0,-72.308308,18.534067,1714,198,1459523665,1459523665,1459523665,0
UMTS,372,1,37001,65659288,0,-72.311874,18.538467,1000,5,1463043708,1463043708,1463043708,0
UMTS,372,1,37001,65659289,0,-72.313073,18.537119,1000,11,1374746092,1374746092,1374746092,0
UMTS,372,1,37001,65654129,0,-72.303899,18.532028,2597,27,1436434894,1436434894,1436434894,0
UMTS,372,1,37001,65654127,0,-72.299652,18.530502,1000,4,1370265931,1370265931,1370265931,0
UMTS,372,1,37001,65654128,0,-72.298416,18.530365,1000,10,1458244886,1458244886,1458244886,0
UMTS,372,1,37001,65654119,0,-72.297501,18.532333,1000,15,1370266027,1370266027,1370266027,0
UMTS,372,1,37001,65654117,0,-72.29547,18.533311,1000,22,1426354602,1426354602,1426354602,0
UMTS,372,1,37001,65654118,0,-72.295284,18.536755,1000,47,1370268174,1370268174,1370268174,0
UMTS,372,1,37001,65654121,0,-72.297592,18.533249,1000,2,1458333551,1458333551,1458333551,0
UMTS,372,1,37001,65657548,0,-72.291307,18.537835,4112,31,1494681419,1494681419,1494681419,0
UMTS,372,1,37001,65654109,0,-72.291079,18.535956,1000,35,1370355849,1370355849,1370355849,0
UMTS,372,1,37001,65653972,0,-72.290725708008,18.537368774414,1000,1,1370266389,1370266389,1370266389,0
GSM,372,1,27010,25573,0,-72.290726,18.536245,1000,11,1370267968,1370267968,1370267968,0
GSM,372,1,27010,25831,0,-72.290726,18.536453,1000,3,1370267918,1370267918,1370267918,0
GSM,372,1,27010,25581,0,-72.290726,18.535538,1000,3,1370267978,1370267978,1370267978,0
GSM,372,1,27005,25831,0,-72.290725708008,18.537368774414,1000,1,1370267835,1370267835,1370267835,0
GSM,372,1,27010,30723,0,-72.290725708008,18.535995483398,1000,2,1370267904,1370267904,1370267904,0
GSM,372,1,27010,25433,0,-72.290725708008,18.535995483398,1000,2,1370267911,1370267911,1370267911,0
GSM,372,1,27005,25581,0,-72.292786,18.535701,1000,14,1370268195,1370268195,1370268195,0
GSM,372,1,27005,25573,0,-72.290725708008,18.534622192383,1000,1,1370267951,1370267951,1370267951,0
UMTS,372,1,27005,65654118,0,-72.293472290039,18.535995483398,1000,1,1370268061,1370268061,1370268061,0
UMTS,372,1,37001,65653988,0,-72.297134,18.540115,1000,3,1370268177,1370268177,1370268177,0
UMTS,372,1,37001,65657549,0,-72.296712,18.539939,1000,3,1505216225,1505216225,1505216225,0
GSM,372,1,37001,25581,0,-72.297592163086,18.540115356445,1000,1,1370268182,1370268182,1370268182,0
GSM,372,1,27005,25322,0,-72.298416,18.541763,1000,5,1370268220,1370268220,1370268220,0
GSM,372,1,27005,25451,0,-72.300588,18.542612,1000,11,1486951468,1486951468,1486951468,0
UMTS,372,1,27005,65653868,0,-72.301025,18.542175,1000,2,1370268295,1370268295,1370268295,0
UMTS,372,1,37001,65653868,0,-72.302808,18.545203,2598,24,1505391114,1505391114,1505391114,0
GSM,372,1,37001,25451,0,-72.300338745117,18.542861938477,1000,1,1370268275,1370268275,1370268275,0
UMTS,372,1,37001,65653989,0,-72.30154,18.542004,1000,8,1374745796,1374745796,1374745796,0
UMTS,372,1,37001,65653987,0,-72.300894,18.54253,1000,14,1493819245,1493819245,1493819245,0
GSM,372,1,37001,26997,0,-72.305243,18.546786,1000,7,1374745428,1374745428,1374745428,0
GSM,372,1,27005,26997,0,-72.305538,18.54708,1000,14,1450725772,1450725772,1450725772,0
GSM,372,1,27005,26998,0,-72.304184,18.542313,1000,5,1452843081,1452843081,1452843081,0
GSM,372,1,27005,26861,0,-72.303944,18.541489,1000,8,1484554601,1484554601,1484554601,0
UMTS,372,1,27005,65655397,0,-72.304458618164,18.540115356445,1000,1,1370268383,1370268383,1370268383,0
UMTS,372,1,37001,65655398,0,-72.305489,18.540115,1000,4,1374745878,1374745878,1374745878,0
GSM,372,1,37001,26862,0,-72.30583190918,18.540115356445,1000,1,1370268398,1370268398,1370268398,0
GSM,372,1,27005,26862,0,-72.30346,18.541364,1000,11,1486951468,1486951468,1486951468,0
GSM,372,1,27005,26863,0,-72.308487,18.538284,1000,15,1374745947,1374745947,1374745947,0
GSM,372,1,27005,25601,0,-72.308578491211,18.537368774414,1000,1,1370268456,1370268456,1370268456,0
GSM,372,1,27005,29123,0,-72.309265,18.537369,1000,4,1370268477,1370268477,1370268477,0
GSM,372,1,27005,25851,0,-72.309951782227,18.537368774414,1000,1,1370268483,1370268483,1370268483,0
GSM,372,1,27004,25851,0,-72.299663,18.53295,4707,10,1492540200,1492540200,1492540200,0
GSM,372,1,27004,25593,0,-72.309951782227,18.535995483398,1000,1,1370268495,1370268495,1370268495,0
GSM,372,1,27010,25593,0,-72.309951782227,18.535995483398,1000,3,1374746001,1374746001,1374746001,0
GSM,372,1,27010,25851,0,-72.309951782227,18.535995483398,1000,2,1374746002,1374746002,1374746002,0
UMTS,372,1,27004,65654137,0,-72.310638,18.535995,1000,2,1374746025,1374746025,1374746025,0
UMTS,372,1,37001,65659290,0,-72.315064,18.536864,1000,12,1492540200,1492540200,1492540200,0
UMTS,372,1,37001,65654140,0,-72.315102,18.536339,1000,4,1370354518,1370354518,1370354518,0
UMTS,372,1,37001,65657807,0,-72.318587,18.537764,1000,66,1440277700,1440277700,1440277700,0
UMTS,372,1,37001,65652727,0,-72.322974,18.537921,1000,87,1468520631,1468520631,1468520631,0
UMTS,372,1,37001,65652729,0,-72.311969,18.558055,6881,613,1448356855,1448356855,1448356855,0
UMTS,372,1,37001,65654149,0,-72.326712,18.531792,1000,49,1459523665,1459523665,1459523665,0
UMTS,372,1,37001,65652731,0,-72.331029,18.527397,1230,23,1468520631,1468520631,1468520631,0
GSM,372,1,37001,25613,0,-72.329177856445,18.52912902832,1000,1,1370269886,1370269886,1370269886,0
GSM,372,1,27004,25613,0,-72.326126,18.532333,1000,9,1477893421,1477893421,1477893421,0
GSM,372,1,27004,28902,0,-72.3313,18.530627,1000,11,1487153047,1487153047,1487153047,0
UMTS,372,1,27004,65657438,0,-72.330551147461,18.531875610352,1000,2,1375461329,1375461329,1375461329,0
UMTS,372,1,37001,65657438,0,-72.330926,18.53044,1000,22,1452431151,1452431151,1452431151,0
GSM,372,1,37001,28921,0,-72.332382,18.528214,1000,3,1390892325,1390892325,1390892325,0
GSM,372,1,27004,28921,0,-72.331638,18.527012,1000,48,1488797003,1488797003,1488797003,0
GSM,372,1,27004,28903,0,-72.334074,18.532353,1000,23,1426757915,1426757915,1426757915,0
UMTS,372,1,27004,65657439,0,-72.333755,18.531876,1000,3,1375461282,1375461282,1375461282,0
GSM,372,1,37001,28903,0,-72.334671020508,18.531875610352,1000,2,1374749356,1374749356,1374749356,0
UMTS,372,1,37001,65657440,0,-72.333078,18.532095,1000,25,1375461311,1375461311,1375461311,0
UMTS,372,1,37001,65655361,0,-72.334552,18.529338,1000,46,1390892318,1390892318,1390892318,0
UMTS,372,1,37001,65657459,0,-72.331903,18.526706,1000,191,1401036393,1401036393,1401036393,0
UMTS,372,1,37001,65652734,0,-72.325058,18.532219,1000,12,1375461610,1375461610,1375461610,0
UMTS,372,1,37001,65655448,0,-72.320732,18.543274,1000,20,1375531475,1375531475,1375531475,0
UMTS,372,1,37001,65655578,0,-72.317813,18.546382,1000,63,1492540200,1492540200,1492540200,0
UMTS,372,1,37001,65655519,0,-72.319262,18.544407,1271,37,1494513445,1494513445,1494513445,0
UMTS,372,1,37001,65655517,0,-72.317505,18.546045,1000,22,1463387634,1463387634,1463387634,0
UMTS,372,1,37001,65655577,0,-72.316818,18.549065,1000,29,1383549999,1383549999,1383549999,0
UMTS,372,1,37001,65655658,0,-72.316266,18.551611,1000,19,1494133058,1494133058,1494133058,0
UMTS,372,1,37001,65655659,0,-72.317407,18.551886,1000,14,1383550036,1383550036,1383550036,0
UMTS,372,1,37001,65655657,0,-72.31594,18.552338,1000,42,1506532383,1506532383,1506532383,0
UMTS,372,1,37001,65655768,0,-72.316638,18.546811,2136,123,1494855209,1494855209,1494855209,0
UMTS,372,1,37001,65655769,0,-72.314346,18.555267,1000,30,1472799978,1472799978,1472799978,0
UMTS,372,1,37001,65655838,0,-72.318192,18.558912,1000,16,1473752566,1473752566,1473752566,0
UMTS,372,1,37001,65653767,0,-72.31716,18.558256,1000,16,1505668715,1505668715,1505668715,0
UMTS,372,1,37001,65655889,0,-72.319048,18.560186,1587,15,1524508685,1524508685,1524508685,0
UMTS,372,1,37001,65655887,0,-72.317454,18.561093,1000,18,1524509890,1524509890,1524509890,0
GSM,372,1,27007,25102,0,-72.313073,18.56421,1000,11,1426757916,1426757916,1426757916,0
GSM,372,1,27007,25103,0,-72.317295,18.566822,5169,40,1494772224,1494772224,1494772224,0
GSM,372,1,27007,25101,0,-72.311856,18.566238,1000,41,1494414431,1494414431,1494414431,0
UMTS,372,1,27007,65656139,0,-72.307205200195,18.571701049805,1000,1,1370340473,1370340473,1370340473,0
UMTS,372,1,37001,65656139,0,-72.306107,18.57328,1000,20,1383847926,1383847926,1383847926,0
UMTS,372,1,37001,65656137,0,-72.298965,18.57431,1274,30,1444035744,1444035744,1444035744,0
UMTS,372,1,37001,65656208,0,-72.305908,18.575745,1000,18,1383847899,1383847899,1383847899,0
UMTS,372,1,37001,65656207,0,-72.309036,18.579649,1087,33,1383897503,1383897503,1383897503,0
UMTS,372,1,37001,65653418,0,-72.312012,18.579838,1000,40,1492232389,1492232389,1492232389,0
UMTS,372,1,37001,65653417,0,-72.297182,18.590118,2977,224,1383897467,1383897467,1383897467,0
UMTS,372,1,37001,65652739,0,-72.290374,18.58834,1882,43,1451335624,1451335624,1451335624,0
UMTS,372,1,37001,65656328,0,-72.306519,18.582687,1000,2,1370340869,1370340869,1370340869,0
UMTS,372,1,37001,65656308,0,-72.304528,18.584735,1000,95,1494509301,1494509301,1494509301,0
GSM,372,1,37001,27752,0,-72.30583190918,18.58268737793,1000,1,1370340907,1370340907,1370340907,0
GSM,372,1,27006,27752,0,-72.305145,18.582687,1000,2,1370340918,1370340918,1370340918,0
GSM,372,1,27006,24792,0,-72.307205,18.583145,1000,3,1470815676,1470815676,1470815676,0
UMTS,372,1,27006,65656308,0,-72.304458618164,18.58268737793,1000,1,1370340932,1370340932,1370340932,0
UMTS,372,1,37001,65653321,0,-72.301712036133,18.584060668945,1000,1,1370340981,1370340981,1370340981,0
UMTS,372,1,37001,65653318,0,-72.299685,18.584697,1203,18,1505883448,1505883448,1505883448,0
UMTS,372,1,37001,65653319,0,-72.299118,18.585739,1000,9,1383897712,1383897712,1383897712,0
UMTS,372,1,37001,65653317,0,-72.295238,18.587788,1000,21,1474230757,1474230757,1474230757,0
UMTS,372,1,37001,65653307,0,-72.292754,18.588139,1352,11,1452051335,1452051335,1452051335,0
